Wall time,Step,Value
1643202034.9549532,3300,-6.0592756271362305
1643202067.3649528,3900,-6.201488018035889
1643202153.549957,5500,-6.464330673217773
1643202163.9709547,5700,-6.11317253112793
1643202182.1414528,6000,-6.466259956359863
1643202245.320457,7100,-7.131965160369873
1643202329.3314548,8600,-3.4040145874023438
1643202346.1889532,8900,-5.462272644042969
1643202717.213953,10900,-2.902888298034668
1643202759.976955,11700,-0.8660514950752258
1643202782.2969532,12100,-6.167492866516113
1643202894.9094532,14100,-1.2229530811309814
1643203058.1559532,17000,16.723520278930664
1643203075.2004528,17300,13.990579605102539
1643203124.1574564,18200,15.586376190185547
1643203211.869957,19800,9.383298873901367
1643203223.4369564,20000,15.178886413574219
1643203470.059953,24400,15.51716136932373
1643203497.5844533,24900,10.815125465393066
1643203582.4759557,26400,4.3948869705200195
1643203613.9884548,27000,3.0815632343292236
1643203643.5319548,27500,10.303321838378906
1643203681.1369536,28200,3.3880555629730225
1643203713.6699543,28800,5.382152557373047
1643203816.949457,30700,-3.6178717613220215
1643203906.1204538,32300,3.9331746101379395
1643203916.7254543,32500,-2.383539915084839
1643203959.2824535,33300,3.8572988510131836
1643204076.8159528,35400,-2.799278736114502
1643204122.7234569,36200,7.873689651489258
1643204207.7419531,37800,-9.516820907592773
1643204230.2234576,38200,-2.537611484527588
1643204528.786454,43600,-11.879629135131836
1643204533.738454,43700,-4.729911804199219
1643204626.0609534,45400,-11.371644973754883
1643204645.220954,45700,-19.872316360473633
1643204661.417453,46000,-8.904621124267578
1643204743.5904577,47500,-24.111862182617188
1643204758.7869544,47800,-15.649307250976562
1643204764.0494535,47900,-9.563838958740234
1643204818.6734548,48900,-17.084753036499023
1643204922.0889535,50800,-23.252044677734375
1643205039.246453,52900,-23.58218765258789
1643205134.8879566,54600,-20.292911529541016
1643205162.4639528,55100,-24.882953643798828
1643205314.171457,57800,-28.479724884033203
1643205369.1659577,58800,-29.701065063476562
1643205402.844953,59400,-28.062049865722656
1643205444.0024545,60100,-30.942890167236328
1643205449.5009534,60200,-18.613128662109375
1643205639.7079544,63500,-27.452972412109375
1643205651.1004543,63700,-27.526203155517578
1643205715.917953,64900,-27.584739685058594
1643205757.150454,65600,-33.597171783447266
1643205763.8089552,65700,-28.696022033691406
1643205774.4874568,65900,-32.5255012512207
1643205790.8494544,66200,-31.454334259033203
1643205801.6809528,66400,-22.467674255371094
1643205872.1194537,67600,-22.209386825561523
1643205926.930453,68600,-23.763341903686523
1643206177.9494529,72900,-22.10126304626465
1643206199.719454,73300,-26.15680694580078
1643206226.132954,73700,-21.306407928466797
1643206271.595954,74500,-20.76871109008789
1643206322.2389529,75400,-21.91631507873535
1643206397.8384528,76700,-31.941238403320312
1643206421.2504528,77100,-32.9747428894043
1643206476.0629556,78000,-25.1513671875
1643206497.830454,78400,-31.843137741088867
1643206508.8989544,78600,-23.75864601135254
1643206519.922456,78800,-16.309112548828125
1643206567.3344526,79500,-13.5214262008667
1643206595.5354528,80000,-25.121694564819336
1643206606.0639539,80200,-27.608646392822266
1643206631.7944548,80700,-28.923534393310547
1643206642.5879538,80900,-17.83295440673828
1643206663.5039556,81300,-23.288583755493164
1643206690.174454,81700,-28.868186950683594
1643206722.3274531,82300,-30.329259872436523
1643206727.634456,82400,-25.171010971069336
1643206858.3039563,84700,-31.130022048950195
1643206879.8444564,85100,-26.906768798828125
1643207069.5419571,88400,-36.240997314453125
1643207108.6339588,89100,-32.74485778808594
1643207147.2139533,89700,-31.84364891052246
1643207220.1014528,91100,-29.599464416503906
1643207249.765956,91500,-33.63441467285156
1643207289.3089564,92200,-36.19456100463867
1643207299.9244542,92400,-24.43434715270996
1643207334.066457,93000,-26.32820701599121
1643207346.008954,93200,-26.16377830505371
1643207429.9009533,94600,-33.42039489746094
1643207435.4819574,94700,-36.10748291015625
1643207494.6129537,95700,-33.998695373535156
1643207510.221454,96000,-24.9227352142334
1643207559.1519532,96900,-35.66590118408203
1643207580.8119547,97300,-40.02392578125
1643207610.0194554,97700,-30.17139434814453
1643207658.212453,98600,-41.32730484008789
1643207663.5164568,98700,-44.07860565185547
1643207696.4399552,99300,-37.91571044921875
1643207701.4254527,99400,-36.80577087402344
1643207734.708956,99900,-37.90919494628906
1643207836.664453,101700,-34.194366455078125
1643207852.8684542,102000,-35.79151153564453
1643207902.5969536,102900,-42.91521072387695
1643208074.949456,105900,-37.68674850463867
1643208145.9974542,107200,-41.0587158203125
1643208184.2504575,107800,-40.57148361206055
1643208200.6904535,108100,-38.70325469970703
1643208211.8144555,108300,-46.74248123168945
1643208233.566454,108700,-30.064376831054688
1643208266.3439538,109300,-42.38534164428711
1643208300.237453,109800,-45.82453536987305
1643208353.340454,110800,-41.154869079589844
1643208386.4064548,111400,-45.63473892211914
1643208421.2199528,111900,-42.403114318847656
1643208476.5199544,112900,-43.53312683105469
1643208719.500454,117100,-48.442081451416016
1643208749.1319532,117500,-45.163047790527344
1643208755.0169566,117600,-37.85438537597656
1643208760.3819556,117700,-41.781768798828125
1643208864.0334563,119500,-41.06096649169922
1643208932.8399541,120800,-35.0302619934082
1643209010.9159546,122100,-40.08009338378906
1643209159.5614545,124700,-46.940643310546875
1643209230.7004542,125900,-48.9395637512207
1643209290.4779549,127000,-39.12312316894531
1643209306.2604532,127300,-53.24976348876953
1643209330.8614566,127600,-42.8773078918457
1643209450.480454,129600,-44.53875732421875
1643209482.309953,130200,-42.03337478637695
1643209521.806953,130900,-36.10671615600586
1643209562.0869532,131500,-54.06684112548828
1643209648.116453,133100,-53.74810028076172
1643209665.0114534,133400,-56.26399230957031
1643209735.6354558,134500,-54.24140930175781
1643209751.9124532,134800,-55.22250747680664
1643209767.7409527,135100,-51.97560501098633
1643209772.7274542,135200,-40.49198913574219
1643210065.125953,140000,-60.71581268310547
1643210081.0989566,140300,-51.42769241333008
1643210096.9434543,140600,-47.173240661621094
1643210102.3284535,140700,-48.10527038574219
1643210229.394957,142900,-51.42412185668945
1643210303.6214576,144100,-39.09908676147461
1643210313.7734563,144300,-48.82062530517578
1643210356.681953,145100,-49.979068756103516
1643210386.841453,145500,-55.723388671875
1643210528.9304554,148000,-45.30057907104492
1643210534.2944572,148100,-47.718509674072266
1643210592.564953,149200,-47.37275314331055
1643210644.9134552,150000,-52.1618766784668
1643210666.7954552,150400,-51.03654479980469
1643210677.4149556,150600,-54.82786560058594
1643210867.5679529,153800,-49.876190185546875
1643210889.6089528,154200,-55.61362838745117
1643211036.1249557,156700,-52.985599517822266
1643211132.3674574,158300,-49.72789001464844
1643211137.711953,158400,-57.983482360839844
1643211228.5424535,159900,-49.44621276855469
1643211249.1279528,160300,-54.638221740722656
1643211344.5969555,161900,-51.942161560058594
1643211350.195453,162000,-47.71010208129883
1643211477.0484538,164200,-53.20817947387695
1643211503.2249558,164700,-44.566226959228516
1643211530.358453,165200,-49.4312744140625
1643211556.2914562,165500,-49.89573669433594
1643211582.411953,166000,-62.30958557128906
1643211597.694454,166300,-54.88655090332031
1643211671.0519528,167500,-60.2129020690918
1643211712.4749546,168300,-49.76023864746094
1643211749.5749586,169000,-49.159019470214844
1643211798.3889558,169700,-45.93674850463867
1643211845.829953,170600,-50.549861907958984
1643211865.9084566,171000,-53.80089569091797
1643211875.9674544,171200,-60.63191223144531
1643211886.8649554,171400,-63.5504035949707
1643211913.198454,171700,-45.82295227050781
1643211949.177953,172400,-46.88691329956055
1643211996.6144538,173300,-61.496192932128906
1643212061.206454,174300,-60.97431182861328
1643212084.467453,174700,-51.445106506347656
1643212095.404954,174900,-48.99821090698242
1643212110.9819577,175200,-52.31833267211914
1643212147.497953,175700,-46.875186920166016
1643212164.2994554,176000,-52.739776611328125
1643212169.377956,176100,-57.35079574584961
1643212286.937455,178100,-63.8828010559082
1643212335.024953,179000,-64.86465454101562
1643212377.7124553,179600,-64.29612731933594
1643212415.1824543,180300,-61.938507080078125
1643212420.9294531,180400,-51.82895278930664
1643212469.1999562,181300,-56.13984298706055
1643212518.134955,182000,-63.916160583496094
1643212642.8794544,184100,-63.53257751464844
1643212663.785453,184500,-51.82767868041992
1643212729.3459537,185500,-49.398502349853516
1643212751.250953,185900,-58.40618896484375
1643212798.2674532,186800,-61.141136169433594
1643212878.2554529,188100,-59.20671844482422
1643212893.548958,188400,-44.41082763671875
1643212926.3404539,189000,-55.89510726928711
1643212936.608953,189200,-61.24567413330078
1643213144.2169528,192600,-59.26590347290039
1643213175.7629547,193200,-58.01554870605469
1643213280.4534528,194900,-67.25178527832031
1643213347.067453,195900,-61.13790512084961
1643213365.3639534,196200,-62.75773620605469
1643213376.0159528,196400,-49.665504455566406
1643213484.451953,198200,-39.89773178100586
1643213576.832454,199600,-50.34016418457031
1643213588.4324582,199800,-52.48622131347656
1643213697.061953,201600,-63.99446105957031
1643213718.277953,202000,-67.93745422363281
1643213761.4249578,202800,-61.87824630737305
1643213866.329953,204500,-59.434539794921875
1643213899.328453,205100,-72.99616241455078
1643214051.1639555,207500,-64.98833465576172
1643214121.8489554,208800,-63.134483337402344
1643214137.5779567,209100,-59.05420684814453
1643214142.9654531,209200,-54.94402313232422
1643214153.6729558,209400,-73.91255950927734
1643214178.4829586,209600,-61.548362731933594
1643214199.206954,210000,-73.31793212890625
1643214220.822954,210400,-58.12159729003906
1643214258.860457,211100,-54.233707427978516
1643214348.9919558,212600,-76.1825180053711
1643214561.302457,216000,-59.50230026245117
1643214581.7469537,216400,-69.22647857666016
1643214619.5379555,217100,-77.05274963378906
1643214679.4064555,218000,-72.85240173339844
1643214744.3154538,219200,-74.30180358886719
1643214812.5914555,220200,-66.36006164550781
1643214823.4694564,220400,-72.67556762695312
1643214834.6994565,220600,-72.24510192871094
1643214862.7254546,221100,-61.59611892700195
1643214878.5699542,221400,-74.41766357421875
1643214934.6029572,222200,-63.76433563232422
1643214956.5674534,222600,-71.97440338134766
1643215080.5329547,224600,-74.09413146972656
1643215107.076457,225100,-73.89602661132812
1643215112.738453,225200,-79.05068969726562
1643215123.1504555,225400,-72.13520812988281
1643215152.6374545,225700,-66.41280364990234
1643215173.5954542,226100,-65.7713394165039
1643215179.0009527,226200,-64.16148376464844
1643215216.691953,226900,-75.18141174316406
1643215232.594453,227200,-72.0726547241211
1643215272.103957,227700,-80.08656311035156
1643215387.5939534,229600,-66.3714828491211
1643215440.5629537,230600,-73.42396545410156
1643215472.7949564,231200,-78.34036254882812
1643215519.9754574,231800,-87.00357055664062
1643215541.175457,232200,-77.33900451660156
1643215603.8794556,233400,-71.81685638427734
1643215624.8509557,233500,-77.2668228149414
1643215778.2324557,236000,-69.15550994873047
1643215827.614453,236900,-78.98810577392578
1643216042.6204543,240400,-92.19145202636719
1643216047.6729536,240500,-82.02581787109375
1643216058.3904543,240700,-89.68824005126953
1643216147.1584542,242100,-90.57000732421875
1643216327.5074575,245100,-89.90645599365234
1643216385.570954,245900,-78.17591857910156
1643216422.1619534,246600,-96.62356567382812
1643216432.610453,246800,-91.62617492675781
1643216442.8449552,247000,-90.26235961914062
1643216483.5354528,247500,-83.8025131225586
1643216632.2294528,250000,-96.66907501220703
1643216637.8934534,250100,-78.61183166503906
1643216691.2904534,251100,-81.22013092041016
1643216701.4909556,251300,-99.07079315185547
1643216744.0539575,251800,-73.41220092773438
1643216817.8679557,253200,-116.07850646972656
1643216868.082454,253800,-78.63130187988281
1643216917.928453,254700,-109.9967041015625
1643217017.5364556,256200,-109.75680541992188
1643217039.3309577,256600,-87.45674896240234
1643217050.126453,256800,-89.15040588378906
1643217202.1054533,259300,-112.71389770507812
1643217284.7054548,260500,-90.26354217529297
1643217356.0139565,261500,-113.97026062011719
1643217389.066953,262100,-105.53150939941406
1643217496.0834568,263800,-110.53285217285156
1643217527.7694528,264400,-133.66954040527344
1643217534.2364557,264500,-103.93311309814453
1643217625.5674546,265900,-91.20536804199219
1643217658.514955,266500,-98.1241455078125
1643217684.651454,267000,-103.01481628417969
1643217821.7619536,269300,-128.3733673095703
1643217877.125456,270000,-120.067626953125
1643217904.2574532,270500,-108.37435150146484
1643217991.1684582,271800,-121.33831787109375
1643218028.2839558,272500,-132.99363708496094
1643218126.3179543,274000,-108.60874938964844
1643218190.846958,275200,-107.40607452392578
1643218223.6284528,275500,-155.45790100097656
1643218299.9744563,276900,-111.41020202636719
1643218305.0484548,277000,-145.5715789794922
1643218316.0019548,277200,-158.2667694091797
1643218526.3149536,280400,-151.50408935546875
1643218531.7304554,280500,-138.00033569335938
1643218536.7974555,280600,-123.85380554199219
1643218652.2409527,282400,-136.78762817382812
1643218753.0564542,283900,-130.2926025390625
1643218779.4209547,284400,-115.2265853881836
1643219055.8359559,288700,-134.2130889892578
1643219122.4909544,289600,-137.6826629638672
1643219170.7844534,290500,-144.48382568359375
1643219203.247953,291100,-163.3760528564453
1643219244.7959569,291500,-122.4442138671875
1643219338.5509548,293200,-150.06820678710938
1643219349.8499532,293400,-164.3773193359375
1643219374.9139578,293500,-151.13211059570312
1643219660.9674542,298200,-137.5692138671875
1643219705.0419567,299000,-149.12045288085938
1643219844.580955,301300,-136.72683715820312
1643219913.530453,302200,-168.38470458984375
1643219934.9174569,302600,-166.04446411132812
1643219956.3009553,303000,-170.4696044921875
1643219961.3754537,303100,-149.33453369140625
1643220037.5789561,304200,-188.9452362060547
1643220053.5244539,304500,-173.90638732910156
1643220098.6629536,305300,-144.63189697265625
1643220133.6139574,305600,-148.81324768066406
1643220281.430457,308000,-168.43226623535156
1643220303.3449528,308400,-169.3771514892578
1643220314.731953,308600,-139.39532470703125
1643220482.6964529,311400,-163.81686401367188
1643220643.206953,313700,-171.093994140625
1643220724.1894555,315200,-148.7447509765625
1643220786.1419551,316000,-139.52011108398438
1643220812.6629555,316500,-148.07968139648438
1643220838.2589533,317000,-165.86181640625
1643220889.8839533,317600,-175.387451171875
1643220976.074954,319200,-155.15655517578125
1643221093.1739538,321000,-128.75192260742188
1643221098.6704555,321100,-167.0362548828125
1643221157.2304547,321800,-161.66064453125
1643221172.879953,322100,-163.90768432617188
1643221320.9324548,324500,-155.21331787109375
1643221336.988453,324800,-171.14260864257812
1643221395.4799542,325500,-138.31875610351562
1643221412.0944536,325800,-172.20645141601562
1643221417.2589529,325900,-182.71377563476562
1643221427.9944534,326100,-187.67538452148438
1643221433.4009588,326200,-195.64486694335938
1643221590.992953,328700,-137.30929565429688
1643221658.9634552,329600,-147.73316955566406
1643221807.327957,332000,-165.497314453125
1643221852.1034558,332800,-182.47634887695312
1643221947.4639573,334200,-151.80477905273438
1643221953.1359537,334300,-168.7321014404297
1643222068.968453,336000,-195.92568969726562
1643222243.515955,338900,-171.708984375
1643222254.813953,339100,-181.2267608642578
1643222329.9254527,340100,-194.97164916992188
1643222442.796454,341800,-183.37332153320312
1643222468.336953,342300,-175.00767517089844
1643222605.0874538,344500,-185.9031524658203
1643222620.506455,344800,-164.68649291992188
1643222646.376455,345300,-196.65550231933594
1643222722.9449544,346400,-170.3612060546875
1643222733.3869543,346600,-185.96990966796875
1643222770.5699544,347300,-241.13626098632812
1643222823.298954,347900,-169.06417846679688
1643222861.3619533,348600,-198.71749877929688
1643222895.7324529,349200,-197.75572204589844
1643222933.2404578,349500,-180.449462890625
1643223022.5419545,351200,-171.40188598632812
1643223106.807953,352400,-200.38119506835938
1643223122.774955,352700,-200.08688354492188
1643223157.8484528,353400,-214.6040496826172
1643223264.3474534,355000,-198.23997497558594
1643223274.5979536,355200,-191.83082580566406
1643223326.4529562,355800,-221.84376525878906
1643223347.8544536,356200,-211.38442993164062
1643223453.9694529,357800,-195.75462341308594
1643223567.8709579,359500,-204.431396484375
1643223695.990453,361500,-188.92311096191406
1643223791.6719544,363300,-224.29171752929688
1643223824.736953,363500,-212.6684112548828
1643223834.954953,363700,-236.369873046875
1643223850.835953,364000,-226.69308471679688
1643223866.2884576,364300,-224.9875946044922
1643223977.1044536,366000,-243.81239318847656
1643224034.525955,367100,-225.11859130859375
1643224132.2194543,368500,-239.8439178466797
1643224336.659453,371500,-218.9561767578125
1643224347.0964537,371700,-250.90997314453125
1643224496.1289535,374100,-260.319091796875
1643224516.5049531,374500,-235.46499633789062
1643224527.1244543,374700,-244.556640625
1643224558.1019547,375300,-238.38841247558594
1643224597.2094529,375600,-244.51412963867188
1643224607.3034534,375800,-233.11135864257812
1643224654.017454,376700,-255.92520141601562
1643224691.195453,377400,-219.22940063476562
1643224781.2969537,378700,-240.1522979736328
1643224847.2654576,379500,-243.70828247070312
1643224914.913454,380800,-280.4576416015625
1643224925.178453,381000,-245.2254638671875
1643224940.079953,381300,-250.57518005371094
1643225026.4404533,382500,-228.07135009765625
1643225048.234453,382900,-251.48736572265625
1643225073.4109578,383400,-257.8223876953125
1643225108.9934528,383600,-249.88381958007812
1643225163.746456,384600,-238.06704711914062
1643225184.9724534,385000,-288.68719482421875
1643225391.8499532,387900,-250.75677490234375
1643225418.8634567,388400,-262.33636474609375
1643225455.708454,389100,-218.35752868652344
1643225764.9384527,393500,-291.56695556640625
1643225805.477954,394300,-240.21815490722656
1643225842.706953,395000,-297.9097595214844
1643225862.837453,395400,-304.7904968261719
1643225949.1369536,396500,-260.69873046875
