Wall time,Step,Value
1643462810.0964913,2621404,-1498.95849609375
1643462822.2479913,2621604,-1995.01318359375
1643462828.675491,2621704,-2150.65185546875
1643462841.4324915,2621904,-2182.799072265625
1643462853.427994,2622104,-2225.40283203125
1643462860.0139925,2622204,-2007.271728515625
1643462865.5809915,2622304,-2281.556396484375
1643462871.1144924,2622404,-2022.095947265625
1643462877.1499915,2622504,-1631.7015380859375
1643462882.9959917,2622604,-1790.65771484375
1643462888.4909916,2622704,-2475.829345703125
1643462893.9949915,2622804,-2415.89111328125
1643462899.865491,2622904,-1970.3975830078125
1643462905.4014907,2623004,-1633.9522705078125
1643462910.9674938,2623104,-2073.938720703125
1643462922.112492,2623304,-2067.94189453125
1643462933.5184927,2623504,-1970.4383544921875
1643462939.0474913,2623604,-1950.8863525390625
1643462967.2804918,2624104,-1935.318115234375
1643462972.8429918,2624204,-2052.58251953125
1643462978.6399913,2624304,-2024.1519775390625
1643462984.6779912,2624404,-2555.5166015625
1643462990.4524918,2624504,-2519.3408203125
1643463002.0049915,2624704,-2106.82177734375
1643463019.1224933,2625004,-2072.53662109375
1643463025.9309916,2625104,-2273.232666015625
1643463036.9429913,2625304,-1964.119873046875
1643463042.4774916,2625404,-1797.167724609375
1643463048.2729924,2625504,-1647.166748046875
1643463054.1229913,2625604,-1993.8868408203125
1643463065.2544918,2625804,-1889.550048828125
1643463076.9689913,2626004,-2320.811279296875
1643463083.1054916,2626104,-2546.859619140625
1643463100.0249918,2626404,-2058.16357421875
1643463105.5969913,2626504,-2238.19580078125
1643463111.150993,2626604,-1814.7083740234375
1643463117.2984922,2626704,-2373.88916015625
1643463122.9089906,2626804,-2376.072021484375
1643463140.7554917,2627104,-2149.04443359375
1643463146.363491,2627204,-2341.65966796875
1643463158.0679915,2627404,-2068.090576171875
1643463163.5859916,2627504,-2053.541015625
1643463169.6094909,2627604,-2042.0760498046875
1643463175.1264913,2627704,-2309.822265625
1643463180.630992,2627804,-2119.5546875
1643463186.1684906,2627904,-2322.902587890625
1643463191.8894918,2628004,-2062.2734375
1643463204.3384914,2628204,-2217.095703125
1643463209.9004915,2628304,-1945.2384033203125
1643463215.4534912,2628404,-2388.5
1643463221.0104907,2628504,-2664.00146484375
1643463232.6549919,2628704,-2384.732421875
1643463244.0329924,2628904,-2465.62939453125
1643463249.5664918,2629004,-2152.030029296875
1643463261.4879913,2629204,-2419.5712890625
1643463267.3714921,2629304,-2425.303466796875
1643463279.176491,2629504,-2197.48974609375
1643463285.034493,2629604,-2443.03564453125
1643463290.630492,2629704,-2058.742919921875
1643463296.5059917,2629804,-2392.285888671875
1643463302.1064918,2629904,-1965.236083984375
1643463307.9509916,2630004,-2167.462890625
1643463319.8299916,2630204,-2100.744140625
1643463326.1019914,2630304,-2038.124755859375
1643463331.9394908,2630404,-2133.94970703125
1643463337.4994917,2630504,-2779.743896484375
1643463367.389493,2631004,-2100.999755859375
1643463373.195492,2631104,-2214.23828125
1643463390.1244917,2631304,-2322.007568359375
1643463401.6819916,2631504,-2104.300048828125
1643463407.262492,2631604,-1963.577880859375
1643463412.8289917,2631704,-2265.18359375
1643463429.979992,2632004,-2373.5966796875
1643463452.555491,2632404,-1925.518798828125
1643463470.446492,2632704,-2017.35546875
1643463482.5139925,2632904,-2008.300048828125
1643463488.3249917,2633004,-2440.078125
1643463493.9169931,2633104,-2333.048828125
1643463516.713992,2633504,-2314.047119140625
1643463523.0464916,2633604,-1907.4500732421875
1643463528.5934927,2633704,-2303.932861328125
1643463534.1334925,2633804,-2346.97412109375
1643463545.9784915,2634004,-1404.7034912109375
1643463551.8359923,2634104,-2033.851806640625
1643463570.3509924,2634404,-1636.005126953125
1643463587.2864914,2634704,-2094.88232421875
1643463592.865492,2634804,-1984.4957275390625
1643463604.0274932,2635004,-1863.4344482421875
1643463615.3984916,2635204,-1832.1324462890625
1643463621.3309913,2635304,-1468.218017578125
1643463626.8994913,2635404,-2409.11474609375
1643463632.9724917,2635504,-2248.964599609375
1643463638.5349922,2635604,-2161.0791015625
1643463644.0639915,2635704,-1790.9833984375
1643463655.192992,2635904,-1727.2139892578125
1643463661.0399914,2636004,-2153.784912109375
1643463666.6644928,2636104,-1792.385498046875
1643463672.2664907,2636204,-1907.5264892578125
1643463683.5254915,2636404,-1846.6962890625
1643463689.1259923,2636504,-1615.3668212890625
1643463695.040492,2636604,-1842.178955078125
1643463707.357993,2636804,-2648.83642578125
1643463713.4734924,2636904,-1534.24560546875
1643463719.3049915,2637004,-1697.194091796875
1643463730.6814923,2637204,-1703.0703125
1643463736.2374926,2637304,-1636.19970703125
1643463747.3839917,2637504,-1936.04736328125
1643463753.269991,2637604,-1590.63232421875
1643463765.0234916,2637804,-1882.3056640625
1643463770.6114929,2637904,-2119.614013671875
1643463776.4169915,2638004,-1797.9710693359375
1643463787.7789917,2638204,-1959.713134765625
1643463810.9519918,2638604,-1939.843017578125
1643463817.1394913,2638704,-1382.1820068359375
1643463823.0864918,2638804,-2203.329345703125
1643463828.9884937,2638904,-2069.208984375
1643463840.7259917,2639104,-2310.9375
1643463846.5369923,2639204,-2154.84521484375
1643463858.8349905,2639404,-1856.6859130859375
1643463870.2119913,2639604,-2019.0101318359375
1643463875.726992,2639704,-1697.085205078125
1643463881.2244925,2639804,-2300.989013671875
1643463886.7744923,2639904,-1843.63720703125
1643463897.9079916,2640104,-1684.448486328125
1643463903.500491,2640204,-1446.1844482421875
1643463943.479991,2640904,-1601.4156494140625
1643464037.7059922,2641304,-2170.48486328125
1643464054.662491,2641604,-1460.7401123046875
1643464060.250991,2641704,-1819.843505859375
1643464065.8899915,2641804,-2043.8759765625
1643464072.324992,2641904,-2075.912841796875
1643464094.8284917,2642304,-1976.6044921875
1643464100.3534925,2642404,-2008.7117919921875
1643464106.5459905,2642504,-1866.57373046875
1643464113.0154912,2642604,-1918.648193359375
1643464130.9744916,2642904,-1720.047607421875
1643464136.576492,2643004,-2243.067626953125
1643464142.4374902,2643104,-2509.23681640625
1643464148.035993,2643204,-1939.8438720703125
1643464153.643491,2643304,-1951.0546875
1643464159.502991,2643404,-1732.82568359375
1643464170.5969923,2643604,-2405.246337890625
1643464176.4719913,2643704,-2379.29150390625
1643464182.3059914,2643804,-1832.528564453125
1643464194.2279909,2644004,-1197.6402587890625
1643464199.8314915,2644104,-1911.0582275390625
1643464205.404991,2644204,-2215.83154296875
1643464211.2339919,2644304,-1846.67431640625
1643464216.822991,2644404,-2089.877197265625
1643464222.6499922,2644504,-1481.5450439453125
1643464239.8819914,2644804,-1936.9412841796875
1643464245.4464912,2644904,-1631.454833984375
1643464256.6754913,2645104,-1932.762451171875
1643464280.3054934,2645504,-2480.948486328125
1643464285.8759913,2645604,-1873.1390380859375
1643464297.041992,2645804,-1938.41015625
1643464302.6259937,2645904,-2031.9193115234375
1643464308.4304907,2646004,-1246.662109375
1643464314.173991,2646104,-1843.15234375
1643464320.1509924,2646204,-1981.4027099609375
1643464325.664991,2646304,-2092.81640625
1643464342.9664915,2646604,-2634.435302734375
1643464360.2684922,2646904,-1870.516845703125
1643464366.677491,2647004,-1994.9892578125
1643464372.7189932,2647104,-2251.939453125
1643464378.258492,2647204,-1946.869140625
1643464389.597991,2647404,-1679.353515625
1643464412.2164912,2647804,-2207.63916015625
1643464424.2474926,2648004,-1979.320556640625
1643464435.7329931,2648204,-2458.06103515625
1643464441.330491,2648304,-1443.912353515625
