Wall time,Step,Value
1643473513.934363,2762905,-5466.87646484375
1643473548.8938625,2763505,34418.40234375
1643473640.987361,2765105,34418.40234375
1643473653.2698615,2765305,48603.3515625
1643473670.6508632,2765605,48603.3515625
1643473734.270863,2766705,48603.3515625
1643473820.8193624,2768205,44570.109375
1643473837.6633623,2768505,44570.109375
1643473952.1868641,2770505,33878.80078125
1643474310.1728628,2776605,64541.99609375
1643474327.5153644,2776905,64541.99609375
1643474380.1583617,2777805,74614.828125
1643474472.759362,2779405,68593.328125
1643474483.9618614,2779605,68593.328125
1643474808.381862,2784005,57703.7421875
1643474837.4528618,2784505,57703.7421875
1643474924.5333622,2786005,59227.8984375
1643474959.8983617,2786605,59227.8984375
1643474988.6158614,2787105,59227.8984375
1643475029.7773614,2787805,59227.8984375
1643475063.9343615,2788405,59227.8984375
1643475268.8048625,2791905,77692.28125
1643475280.155362,2792105,77692.28125
1643475327.0788634,2792905,77759.3125
1643475448.8358643,2795005,77811.5703125
1643475496.6573632,2795805,62100.21484375
1643475614.3488631,2797805,49592.8515625
1643476000.5843627,2803205,48346.47265625
1643476006.2533617,2803305,48346.47265625
1643476104.083863,2805005,49287.58203125
1643476121.3173628,2805305,49287.58203125
1643476138.6993644,2805605,49287.58203125
1643476225.6468632,2807105,49944.0703125
1643476242.842864,2807405,49944.0703125
1643476248.5158627,2807505,49944.0703125
1643476305.661363,2808505,50834.953125
1643476419.7968614,2810405,52741.61328125
1643476542.4453619,2812505,52741.61328125
1643476640.0878618,2814205,52741.61328125
1643476668.9328618,2814705,52741.61328125
1643476824.5368626,2817405,52741.61328125
1643476882.6028614,2818405,52741.61328125
1643476916.7988648,2819005,52741.61328125
1643476956.2078612,2819705,52741.61328125
1643476961.7953622,2819805,52741.61328125
1643477221.3823614,2823105,105173.140625
1643477232.9378624,2823305,105173.140625
1643477302.7078612,2824505,105173.140625
1643477343.086862,2825205,105173.140625
1643477348.7313626,2825305,105173.140625
1643477360.025862,2825505,105173.140625
1643477376.8573623,2825805,105173.140625
1643477388.3303611,2826005,105173.140625
1643477459.176365,2827205,105173.140625
1643477516.9023626,2828205,105173.140625
1643477768.7398632,2832505,161523.0625
1643477815.9338653,2833305,161523.0625
1643477860.916864,2834105,161523.0625
1643477912.653865,2835005,160678.078125
1643477992.275863,2836305,160678.078125
1643478015.3318627,2836705,160678.078125
1643478065.7423627,2837605,160678.078125
1643478088.6988611,2838005,160678.078125
1643478100.468864,2838205,160678.078125
1643478112.1238644,2838405,163415.046875
1643478151.9913633,2839105,163415.046875
1643478180.009863,2839605,163415.046875
1643478191.1823623,2839805,163415.046875
1643478224.3303628,2840305,163415.046875
1643478235.470863,2840505,163415.046875
1643478258.3793635,2840905,162513.296875
1643478345.0883622,2841305,155615.28125
1643478379.3023615,2841905,155615.28125
1643478385.151865,2842005,155615.28125
1643478515.330361,2844305,155615.28125
1643478538.6483626,2844705,155615.28125
1643478727.6233616,2848005,155615.28125
1643478769.2573617,2848705,155615.28125
1643478808.015862,2849305,155615.28125
1643478893.6948628,2850705,155615.28125
1643478918.3093626,2851105,155615.28125
1643478962.0263627,2851805,155615.28125
1643478974.1853623,2852005,155615.28125
1643479024.451364,2852805,155615.28125
1643479108.453362,2854205,155615.28125
1643479174.9648614,2855305,225571.40625
1643479191.9508624,2855605,225571.40625
1643479243.850862,2856505,221200.546875
1643479289.8363628,2857305,221200.546875
1643479341.7868614,2858205,221200.546875
1643479347.3353612,2858305,221200.546875
1643479383.0878615,2858905,221200.546875
1643479388.9218624,2859005,221200.546875
1643479421.8488636,2859505,220527.375
1643479589.4933615,2861305,212855.703125
1643479606.5148623,2861605,212855.703125
1643479657.1423647,2862505,212855.703125
1643479900.2138648,2866805,212855.703125
1643479934.8138633,2867405,225063.578125
1643479951.8868644,2867705,225063.578125
1643479963.082864,2867905,225063.578125
1643479985.9718618,2868305,225063.578125
1643480024.2773633,2868905,225063.578125
1643480053.034364,2869405,222312.515625
1643480110.6108649,2870405,222312.515625
1643480144.7048633,2871005,222312.515625
1643480172.832864,2871505,222312.515625
1643480230.6913626,2872505,222312.515625
1643480473.7513611,2876705,222312.515625
1643480496.0638602,2877105,222312.515625
1643480501.6368644,2877205,222312.515625
1643480507.7578652,2877305,222312.515625
1643480616.5098622,2879105,251844.34375
1643480691.6988628,2880405,251844.34375
1643480831.1403625,2881705,240164.6875
1643481047.7383616,2885505,239153.6875
1643481110.4728627,2886605,239153.6875
1643481127.498363,2886905,239153.6875
1643481144.5403612,2887205,239153.6875
1643481262.237863,2889205,241031.71875
1643481296.6243613,2889805,241031.71875
1643481336.3393612,2890505,241031.71875
1643481371.5553617,2891105,241031.71875
1643481463.3198621,2892705,241031.71875
1643481480.2803617,2893005,241031.71875
1643481542.9903622,2894105,241031.71875
1643481560.4283626,2894405,241031.71875
1643481577.5473623,2894705,241031.71875
1643481583.6533613,2894805,252682.71875
1643481865.4733639,2899605,253774.015625
1643481882.3638628,2899905,253774.015625
1643481899.7598634,2900205,253774.015625
1643481905.4013612,2900305,253774.015625
1643482094.3838644,2902505,251768.171875
1643482161.988864,2903705,251768.171875
1643482218.9158626,2904705,251768.171875
1643482241.7108629,2905105,251768.171875
1643482384.8523624,2907605,251768.171875
1643482390.7728634,2907705,251768.171875
1643482460.053362,2908805,260768.609375
1643482507.2743633,2909605,252989.359375
1643482541.9203904,2910205,249293.390625
1643482725.9283626,2913405,246724.25
1643482749.0058637,2913805,246724.25
1643482891.7093623,2916305,244528.421875
1643482982.5843613,2917905,242427.140625
1643482988.193863,2918005,242427.140625
1643483078.8468614,2919505,236759.640625
1643483101.4698613,2919905,236759.640625
1643483257.8818617,2921505,234875.515625
1643483263.4968612,2921605,234875.515625
1643483389.9473612,2923805,226571.578125
1643483418.5623627,2924305,226571.578125
1643483447.1623616,2924805,226571.578125
1643483464.5683615,2925105,226571.578125
1643483494.2433612,2925605,224708.765625
1643483511.3343618,2925905,224708.765625
1643483580.132862,2927105,224708.765625
1643483631.383862,2927905,222778.46875
1643483671.3443625,2928605,222778.46875
1643483711.4608624,2929305,222778.46875
1643483762.555865,2930205,222778.46875
1643483785.3693626,2930605,222778.46875
1643483796.696363,2930805,222778.46875
1643483808.2858624,2931005,222778.46875
1643483825.7063634,2931305,222778.46875
1643483865.797863,2932005,222778.46875
1643483917.5228631,2932905,222778.46875
1643483998.4768634,2934305,231390.03125
1643484009.858863,2934505,231390.03125
1643484026.8948631,2934805,231390.03125
1643484055.748363,2935305,231390.03125
1643484073.1873636,2935605,231390.03125
1643484079.1073647,2935705,231390.03125
1643484193.4183633,2937705,227925.578125
1643484249.1228642,2938605,227925.578125
1643484284.9573627,2939205,226037.359375
1643484325.2528622,2939905,220719.75
1643484330.8283637,2940005,220719.75
1643484384.0298624,2940905,215657.59375
1643484488.163361,2941605,213220.84375
1643484609.2678633,2943705,210291.0
1643484631.981363,2944105,210291.0
1643484691.7293622,2945105,196843.890625
1643484716.0523624,2945505,194764.4375
1643484767.801863,2946405,194764.4375
1643484847.1378615,2947705,193525.6875
1643484863.905364,2948005,193525.6875
1643484898.7263646,2948605,193525.6875
1643484909.9793644,2948805,193525.6875
1643485103.9203625,2952205,193525.6875
1643485138.3033621,2952805,193525.6875
1643485236.4498613,2954505,199958.8125
1643485295.6638613,2955505,198773.234375
1643485312.8683615,2955805,198773.234375
1643485324.5398629,2956005,198773.234375
1643485432.7243614,2957805,199933.84375
1643485512.2208617,2959205,199933.84375
1643485523.5148633,2959405,199933.84375
1643485692.2558622,2961205,202274.90625
1643485714.9068613,2961605,202274.90625
1643485760.9253619,2962405,202274.90625
1643485857.6063616,2964105,202274.90625
1643485892.0488613,2964705,202274.90625
1643486034.2453635,2967105,206771.828125
1643486109.658863,2968405,206771.828125
1643486126.5358655,2968705,206771.828125
1643486132.1773634,2968805,206771.828125
1643486155.1623645,2969205,206771.828125
1643486178.3658624,2969605,206771.828125
1643486201.708863,2970005,209630.90625
1643486242.7668643,2970705,209630.90625
1643486331.9138649,2972205,209652.96875
1643486533.4803636,2975605,203133.734375
1643486556.470363,2976005,203133.734375
1643486601.7878633,2976705,203540.515625
1643486653.0918627,2977605,203540.515625
1643486721.3513627,2978805,203540.515625
